run,epoch,step,loss,lr
run1,0,10,1.8166,4.99e-05
run1,0,20,0.7738,4.97e-05
run1,0,30,0.6875,4.93e-05
run1,0,40,0.4805,4.87e-05
run1,0,50,0.5131,4.80e-05
run1,0,60,0.4091,4.72e-05
run1,0,70,0.3899,4.62e-05
run1,0,80,0.3378,4.50e-05
run1,0,90,0.3430,4.38e-05
run1,0,100,0.3695,4.24e-05
run1,0,110,0.3271,4.09e-05
run1,0,120,0.3060,3.93e-05
run1,0,130,0.3111,3.76e-05
run1,0,140,0.2861,3.58e-05
run1,0,150,0.3422,3.40e-05
run1,0,160,0.3090,3.21e-05
run1,0,170,0.2890,3.02e-05
run1,0,180,0.2462,2.82e-05
run1,0,190,0.2798,2.62e-05
run1,1,200,0.2630,2.42e-05
run1,1,210,0.2163,2.22e-05
run1,1,220,0.1804,2.02e-05
run1,1,230,0.1707,1.83e-05
run1,1,240,0.1669,1.64e-05
run1,1,250,0.1099,1.45e-05
run1,1,260,0.1222,1.27e-05
run1,1,270,0.1402,1.10e-05
run1,1,280,0.1499,9.41e-06
run1,1,290,0.1061,7.90e-06
run1,1,300,0.1612,6.49e-06
run1,1,310,0.1346,5.21e-06
run1,1,320,0.1208,4.05e-06
run1,1,330,0.1165,3.02e-06
run1,1,340,0.1322,2.14e-06
run1,1,350,0.0940,1.40e-06
run1,1,360,0.0997,8.18e-07
run1,1,370,0.1386,3.88e-07
run1,1,380,0.1208,1.16e-07
run1,1,390,0.1363,3.21e-09
run2,0,10,2.6622,2.00e-05
run2,0,20,1.4807,1.99e-05
run2,0,30,1.1492,1.98e-05
run2,0,40,0.8712,1.97e-05
run2,0,50,0.8836,1.95e-05
run2,0,60,0.8141,1.93e-05
run2,0,70,0.7328,1.90e-05
run2,0,80,0.7314,1.87e-05
run2,0,90,0.6125,1.84e-05
run2,0,100,0.5652,1.80e-05
run2,0,110,0.6368,1.76e-05
run2,0,120,0.5047,1.72e-05
run2,0,130,0.4577,1.67e-05
run2,0,140,0.5742,1.62e-05
run2,0,150,0.4651,1.57e-05
run2,0,160,0.4982,1.52e-05
run2,0,170,0.4534,1.46e-05
run2,0,180,0.4673,1.41e-05
run2,0,190,0.4589,1.35e-05
run2,0,200,0.4989,1.29e-05
run2,0,210,0.4207,1.23e-05
run2,0,220,0.4573,1.16e-05
run2,0,230,0.4277,1.10e-05
run2,0,240,0.4549,1.04e-05
run2,1,250,0.3625,9.71e-06
run2,1,260,0.3183,9.07e-06
run2,1,270,0.2527,8.44e-06
run2,1,280,0.2977,7.81e-06
run2,1,290,0.2594,7.19e-06
run2,1,300,0.3388,6.58e-06
run2,1,310,0.2620,5.99e-06
run2,1,320,0.2167,5.41e-06
run2,1,330,0.2453,4.85e-06
run2,1,340,0.2424,4.32e-06
run2,1,350,0.2737,3.80e-06
run2,1,360,0.2594,3.31e-06
run2,1,370,0.2521,2.85e-06
run2,1,380,0.3033,2.42e-06
run2,1,390,0.2628,2.02e-06
run2,1,400,0.2225,1.65e-06
run2,1,410,0.2252,1.31e-06
run2,1,420,0.2386,1.01e-06
run2,1,430,0.2208,7.52e-07
run2,1,440,0.2171,5.28e-07
run2,1,450,0.2405,3.42e-07
run2,1,460,0.2255,1.96e-07
run2,1,470,0.2333,9.01e-08
run2,1,480,0.2850,2.48e-08
run2,1,490,0.2361,2.05e-10
run3,0,10,2.7334,2.00e-05
run3,0,20,1.7984,1.99e-05
run3,0,30,1.4085,1.98e-05
run3,0,40,1.2499,1.97e-05
run3,0,50,1.0311,1.95e-05
run3,0,60,0.9942,1.93e-05
run3,0,70,0.9362,1.90e-05
run3,0,80,0.8486,1.88e-05
run3,0,90,0.8300,1.84e-05
run3,0,100,0.7332,1.81e-05
run3,0,110,0.7379,1.77e-05
run3,0,120,0.6721,1.73e-05
run3,0,130,0.6600,1.68e-05
run3,0,140,0.7031,1.64e-05
run3,0,150,0.6250,1.59e-05
run3,0,160,0.7176,1.54e-05
run3,0,170,0.6339,1.48e-05
run3,0,180,0.5824,1.43e-05
run3,0,190,0.5681,1.37e-05
run3,0,200,0.4862,1.31e-05
run3,0,210,0.5689,1.25e-05
run3,0,220,0.6011,1.19e-05
run3,0,230,0.5746,1.13e-05
run3,0,240,0.5512,1.06e-05
run3,1,250,0.5684,1.00e-05
run3,1,260,0.4049,9.37e-06
run3,1,270,0.3892,8.75e-06
run3,1,280,0.3714,8.13e-06
run3,1,290,0.3813,7.51e-06
run3,1,300,0.3765,6.91e-06
run3,1,310,0.3773,6.32e-06
run3,1,320,0.3707,5.74e-06
run3,1,330,0.3622,5.18e-06
run3,1,340,0.3805,4.64e-06
run3,1,350,0.3587,4.12e-06
run3,1,360,0.3947,3.63e-06
run3,1,370,0.3455,3.15e-06
run3,1,380,0.3602,2.71e-06
run3,1,390,0.3453,2.29e-06
run3,1,400,0.3555,1.91e-06
run3,1,410,0.3398,1.56e-06
run3,1,420,0.3565,1.24e-06
run3,1,430,0.3302,9.52e-07
run3,1,440,0.3357,7.02e-07
run3,1,450,0.3102,4.89e-07
run3,1,460,0.2918,3.14e-07
run3,1,470,0.3584,1.77e-07
run3,1,480,0.2921,7.89e-08
run3,1,490,0.3301,1.97e-08
